Scenario ID,Module / Pillar,Scenario Category,Sub-Category / Clinical Phenotype,Surgeon / Actor Role,Pre-Conditions & Clinical Parameters,Execution Action / Trigger,Expected Clinical & System Outcome,Compliance & Clinical Standard,Priority / Risk Level
"SCN-0618","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0619","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0620","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0621","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT3a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0622","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0623","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0624","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0625","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R0 Negative","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT3b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0626","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R0 Negative","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0627","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R0 Negative","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0628","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R0 Negative","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0629","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Apical)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT3b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0630","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Apical)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0631","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Apical)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0632","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Apical)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0633","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT3b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0634","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0635","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0636","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3b, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0637","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0638","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0639","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0640","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+3=7b • pT3b • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 3 (4+3=7b), Clinical Stage pT3b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT3b, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0641","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0642","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0643","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0644","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0645","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0646","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0647","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0648","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0649","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0650","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0651","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0652","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Posterolateral)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Posterolateral)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0653","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0654","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0655","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0656","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2a • R1 Positive (Bladder Neck)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2a, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2a, R1 Positive (Bladder Neck)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0657","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0658","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0659","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0660","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R0 Negative","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Partial Left / Sparing Right nerve sparing and histology confirms pT2b, R0 Negative","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (50%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0661","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Bilateral Intrafascial (5/5) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: High (80-90%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0662","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Unilateral Interfascial (3/5) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Moderate (45-60%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
"SCN-0663","1. Clinical & Oncological Pathways","High-Risk Oncological Surveillance","Gleason 4+4=8 • pT2b • R1 Positive (Apical)","RDM","Baseline Grade Group 4 (4+4=8), Clinical Stage pT2b, Pre-op PSA 4.5-18.0 ng/mL","Surgeon RDM performs RALP with Non-Nerve Sparing (Wide Excision) nerve sparing and histology confirms pT2b, R1 Positive (Apical)","PSA 12M >=0.20 ng/mL (Biochemical Recurrence triggered -> MDT Salvage Radiotherapy review); Potency recovery profile: Low (<15%); BAUS Registry oncological index recorded.","BAUS Radical Prostatectomy Registry & NPCA Oncological Standards","High"
